fdic_certificate_number,institution_name,state_name,fdic_id,docket
8870,BankFirst Financial Services,Mississippi,5663,10529
11423,Sycamore Bank,Mississippi,7294,0
9120,Rolette State Bank,North Dakota,5838,0
3914,Ramsey National Bank,North Dakota,2551,12753
28679,North Shore Bank,Wisconsin,41513,2130
9340,"Farmers & Merchants State Bank of New York Mills, Incorporated",Minnesota,5992,12477
10991,First State Bank of Bigfork,Minnesota,7042,9196
9351,State Bank of Lake Park,Minnesota,6002,0
10174,Farmers State Bank of Underwood,Minnesota,6515,0
9422,Citizens State Bank of Lankin,North Dakota,6053,0
10176,Financial Security Bank,Minnesota,6517,0
5221,The First National Bank of Osakis,Minnesota,3507,12598
15472,First United Bank,North Dakota,9778,0
27119,Northmark Bank,Massachusetts,38819,11802
9374,The Corder Bank,Missouri,6019,0
8152,Cambridge Trust Company,Massachusetts,5196,0
2832,First Bank of Alabama,Alabama,1853,14230
58558,Southern States Bank,Alabama,456290,0
22636,Community Bank of Marshall,Missouri,15792,0
3363,"CommunityBank of Texas, N.A.",Texas,2182,0
58629,Allegiance Bank,Texas,460060,0
11578,Burke & Herbert Bank & Trust Company,Virginia,7397,0
58859,CornerStone Bank,Virginia,470827,0
920,Community Banks of Shelby County,Illinois,595,0
58647,First Foundation Bank,California,461041,18049
